Order ID,Payment Method,Card Issuer
1103812,cashless,BANCO SANTANDER TOTTA S.A.
131312,cashless,THE BANCORP BANK
1113812,cashless,BANCO CTT S.A.
1123812,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1133812,cashless,KBC BANKVERZEKERINGSHOLDING (K
1143812,cashless,CAIXA GERAL DE DEPOSITOS SA
1153812,cashless,BANCO COMERCIAL PORTUGUES S.A.
1163812,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1173813,cashless,BANCO COMERCIAL PORTUGUES S.A.
1183813,cashless,BANCO COMERCIAL PORTUGUES S.A.
1193813,cashless,BANCO SANTANDER TOTTA S.A.
1203813,cashless,WIZINK BANK S.A
1213813,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1223813,cashless,BANCO COMERCIAL PORTUGUES S.A.
1233813,cashless,BANCO COMERCIAL PORTUGUES S.A.
1243813,cashless,BANCO COMERCIAL PORTUGUES S.A.
1253813,cashless,REVOLUT LTD
1263813,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1273814,cashless,REVOLUT PAYMENTS UAB
1283814,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1293814,cashless,BANKINTER S.A.
1303814,cashless,BANCO COMERCIAL PORTUGUES S.A.
1313814,cashless,BANCO SANTANDER TOTTA S.A.
1323814,cashless,BANCO BEST
141314,cashless,CITIBANK N.A.
1333814,cashless,BANCO COMERCIAL PORTUGUES S.A.
1343814,cashless,REVOLUT LTD
1353814,cashless,BANCO COMERCIAL PORTUGUES S.A.
1363815,cashless,BANCO SANTANDER TOTTA S.A.
1373815,cashless,BANCO SANTANDER TOTTA S.A.
151315,cashless,
1383815,cashless,CAIXA GERAL DE DEPOSITOS SA
1393815,cashless,BANCO SANTANDER TOTTA S.A.
1403815,cashless,BANCO BEST
1413815,cashless,NORDEA BANK ABP
1423815,cashless,BANCO BEST
1433815,cashless,NOVO BANCO S.A.
1443815,cashless,BANCO COMERCIAL PORTUGUES S.A.
161316,cashless,
1453816,cashless,REVOLUT PAYMENTS UAB
1463816,cashless,
1473816,cashless,CAIXA GERAL DE DEPOSITOS SA
171316,cashless,
1483816,cashless,BANCO COMERCIAL PORTUGUES S.A.
1493816,cashless,BANCO SANTANDER TOTTA S.A.
1503816,cashless,BANCO SANTANDER TOTTA S.A.
181316,cashless,
1513816,cashless,ALLIED IRISH BANKS P.L.C.
191317,cashless,
1523817,cashless,CAIXA GERAL DE DEPOSITOS S.A.
1533817,cashless,REVOLUT LTD
